words,links,capital_words,spam_word_count,is_spam
297,2,13,7,1
297,5,6,2,1
115,10,29,8,1
107,6,14,3,1
515,3,9,1,1
52,10,2,2,1
839,1,27,10,1
131,10,16,7,1
880,5,22,5,1
860,6,26,8,1
691,7,26,10,1
100,1,1,1,0
128,0,0,0,0
230,3,14,7,1
400,3,29,8,1
150,5,1,7,1
718,2,4,8,1
130,0,0,0,0
553,4,25,4,1
108,0,1,6,0
21,2,1,1,0
185,2,1,1,0
205,1,1,1,0
178,8,22,10,1
994,8,16,0,1
95,1,3,1,0
615,2,14,4,1
95,6,8,7,1
856,3,1,6,1
293,2,6,0,0
656,9,13,3,1
684,0,19,2,1
67,2,0,0,0
637,4,7,9,1
226,1,2,2,0
638,5,22,3,1
724,5,3,5,1
234,4,25,5,1
142,0,0,2,0
76,2,2,2,0
101,1,0,0,0
204,2,1,2,0
274,1,3,1,0
335,8,20,1,1
751,5,17,8,1
482,6,10,4,1
164,10,12,9,1
80,3,1,6,0
224,1,3,2,0
191,2,1,4,1
243,1,3,0,0
148,2,7,1,0
778,4,28,6,1
33,1,2,2,0
219,2,9,2,0
155,0,7,0,0
394,8,27,9,1
54,7,14,4,1
600,5,24,8,1
90,1,3,2,0
134,9,2,8,1
799,7,28,5,1
177,0,0,0,0
871,3,10,8,1
260,5,2,2,0
204,3,1,2,0
238,1,2,1,0
168,3,6,0,1
193,2,1,1,1
611,4,22,4,1
170,4,20,7,1
300,2,1,4,0
248,0,5,4,0
99,2,3,3,0
184,0,4,0,0
176,1,0,0,0
869,5,24,3,1
162,8,12,8,1
299,7,10,8,1
120,3,20,4,1
849,0,30,2,1
176,0,11,1,1
65,6,16,10,1
88,0,1,1,0
307,4,26,10,1
149,6,5,0,1
896,3,17,8,1
121,0,27,4,1
837,5,2,6,1
250,0,2,2,0
68,1,1,1,0
220,2,2,1,0
177,2,13,8,1
51,1,1,0,0
651,10,1,9,1
124,2,29,5,1
237,0,3,2,0
307,9,17,4,1
738,3,2,8,1
983,3,14,5,1
116,9,28,9,1
780,9,7,3,1
213,0,4,0,0
218,1,3,3,0
195,2,3,0,0
63,2,17,0,1
791,3,22,7,1
361,9,25,9,1
951,8,8,6,1
431,1,18,10,1
215,0,0,0,0
781,10,3,0,1
53,0,0,1,0
83,10,23,10,1
168,0,7,10,1
205,0,1,2,0
888,7,9,8,1
114,1,20,3,1
819,3,28,0,1
728,6,5,9,1
481,10,22,6,1
983,2,11,0,1
510,2,27,3,1
199,0,2,4,0
366,2,3,0,0
229,5,10,0,0
107,4,18,8,1
480,3,11,1,1
133,4,23,3,1
57,0,1,2,0
188,2,24,8,1
259,7,0,5,1
356,10,17,4,1
696,6,28,8,1
66,1,10,2,0
471,2,9,6,1
159,0,2,1,0
243,2,2,4,0
225,2,27,10,1
295,2,1,3,0
474,4,13,3,1
38,1,6,1,0
453,3,1,0,0
943,10,7,7,1
213,1,0,0,0
366,0,5,0,0
119,4,4,3,1
103,4,3,7,1
602,6,12,10,1
935,5,28,6,1
90,2,8,1,0
217,7,23,7,1
211,1,0,0,0
47,5,0,0,0
177,1,1,2,0
167,0,2,1,0
129,2,1,1,0
270,1,2,0,0
819,9,15,4,1
193,6,5,2,1
86,0,5,0,0
171,3,15,6,1
513,4,4,1,1
713,5,5,8,1
85,2,0,2,0
955,5,11,5,1
828,4,17,1,1
446,8,3,10,1
410,5,0,10,1
349,10,25,6,1
143,0,4,0,0
292,1,3,1,0
191,1,0,2,0
244,2,0,0,0
682,3,13,10,1
147,7,25,5,1
217,2,1,1,0
368,2,26,9,1
123,10,9,4,1
107,2,3,2,0
261,1,2,2,0
92,3,17,5,1
153,1,8,2,0
442,1,3,1,0
263,1,3,1,0
791,9,27,6,1
458,6,5,6,1
118,2,1,0,0
429,0,3,2,0
558,6,0,10,1
105,1,2,0,0
230,1,2,2,0
996,8,7,7,1
229,0,4,1,0
374,4,10,9,1
205,1,8,0,0
23,0,1,1,0
1000,3,23,3,1
96,0,1,6,0
45,2,1,5,0
134,2,1,2,0
258,1,3,1,0
407,10,10,3,1
82,3,1,10,1
200,0,0,2,0
736,3,3,9,1
139,3,21,4,1
705,2,5,10,1
670,2,16,2,1
573,10,30,3,1
443,0,0,1,0
440,10,5,7,1
269,4,1,2,0
97,7,4,6,1
208,0,3,4,0
858,5,12,3,1
291,2,2,4,0
186,0,2,1,0
175,0,0,1,0
97,0,0,0,0
293,6,27,10,1
830,8,5,10,1
53,2,0,2,0
569,7,10,5,1
62,2,10,1,0
875,3,30,8,1
116,1,3,0,0
206,1,1,2,0
381,3,24,3,1
165,1,2,1,0
339,5,19,9,1
334,3,27,6,1
29,0,1,2,0
228,1,1,1,0
270,0,1,1,0
885,3,14,5,1
212,3,7,0,0
832,4,25,7,1
131,1,0,1,0
181,8,6,6,1
150,2,10,1,0
891,3,10,7,1
182,2,26,10,1
672,5,13,10,1
596,2,6,2,1
46,2,0,0,0
261,2,0,2,0
28,0,1,0,0
168,4,13,2,1
50,10,4,6,1
125,5,28,5,1
449,2,0,8,1
47,1,1,0,0
548,5,2,10,1
21,0,1,1,0
231,0,4,2,0
160,2,1,2,0
164,1,2,5,0
276,5,27,2,1
65,3,2,7,1
215,2,0,4,0
794,4,1,0,1
259,0,1,6,0
324,5,25,8,1
258,5,9,2,0
247,1,1,4,0
809,3,5,10,1
260,8,5,4,1
533,1,30,5,1
157,3,13,9,1
104,2,3,0,0
888,2,8,5,1
142,9,3,5,1
93,0,3,2,0
400,10,27,10,1
444,7,15,7,1
89,4,26,4,1
270,2,3,0,0
330,1,3,3,1
545,7,19,3,1
152,2,23,10,1
736,5,29,9,1
98,2,0,3,0
127,0,2,2,0
57,0,1,1,0
274,0,1,1,0
924,8,15,10,1
123,4,30,8,1
272,1,3,0,0
236,0,2,0,0
193,10,7,4,1
290,8,6,7,1
385,4,12,3,1
123,9,2,6,1
65,3,2,1,0
354,5,6,4,1
855,2,15,3,1
159,1,1,1,0
383,1,1,0,0
123,0,3,0,0
258,2,0,0,0
65,0,4,2,0
795,5,14,1,1
66,0,0,2,0
163,2,0,0,0
247,0,0,0,0
100,0,3,1,0
935,5,28,5,1
435,2,0,1,0
218,1,2,2,0
86,2,3,1,0
242,3,1,6,0
286,4,3,2,0
67,7,22,9,1
156,1,3,2,0
163,3,1,4,0
146,3,11,4,1
128,5,4,3,1
29,0,2,0,0
719,9,2,8,1
549,3,22,5,1
258,0,2,2,0
724,6,0,10,1
98,5,14,5,1
40,2,3,2,0
352,4,15,4,1
835,10,4,8,1
150,0,10,0,0
28,0,0,2,0
45,1,2,1,0
278,5,2,0,0
550,4,19,4,1
838,2,6,9,1
134,2,22,9,1
335,0,10,9,1
41,1,3,3,0
286,0,3,2,0
141,9,5,1,1
489,2,26,8,1
118,4,6,10,1
249,7,10,9,1
102,2,0,0,0
174,2,1,1,0
181,7,30,6,1
268,0,2,2,0
231,4,2,2,0
317,3,24,3,1
198,4,27,10,1
263,1,4,2,0
748,3,22,10,1
58,9,6,4,1
155,4,15,10,1
206,0,0,4,0
388,5,17,5,1
128,4,2,5,0
495,1,1,3,0
134,2,3,2,0
734,5,20,5,1
250,10,0,4,1
532,4,26,3,1
333,3,5,4,1
35,0,1,1,0
189,2,2,2,0
429,4,21,9,1
758,3,28,4,1
74,0,2,0,0
281,2,7,2,0
520,3,24,0,1
909,9,12,7,1
60,1,3,0,0
507,0,21,8,1
278,7,18,10,1
39,2,1,0,0
106,7,8,3,1
534,7,21,6,1
242,1,1,3,0
130,2,0,2,0
415,3,19,9,1
517,6,6,7,1
260,2,7,1,0
84,3,7,2,0
202,2,0,0,0
216,0,8,2,0
163,2,25,3,1
969,4,26,6,1
497,1,8,1,0
774,2,14,7,1
926,3,22,5,1
83,4,2,1,0
156,2,11,10,1
151,1,0,6,0
252,9,29,3,1
596,9,29,7,1
140,1,5,4,0
21,0,1,2,0
270,2,5,2,1
993,5,18,5,1
909,1,2,3,1
331,3,8,10,1
61,1,2,1,0
517,2,18,10,1
466,2,1,0,0
967,9,19,9,1
208,2,0,0,0
165,0,20,4,1
266,3,15,6,1
285,0,0,2,0
647,2,11,1,1
632,8,28,8,1
195,2,5,0,1
221,1,5,2,0
772,4,14,2,1
245,2,1,2,0
80,3,1,0,0
730,3,17,10,1
55,3,26,7,1
153,2,0,4,0
840,7,24,5,1
282,1,0,0,0
132,3,23,3,1
56,1,4,0,0
255,1,2,0,0
254,5,3,2,0
29,1,1,1,0
979,8,28,5,1
235,8,2,3,1
100,1,0,0,0
29,4,2,0,0
878,5,4,5,1
107,1,0,2,0
204,2,0,2,0
155,2,1,1,0
909,7,5,2,1
247,1,2,2,0
919,0,16,8,1
130,1,2,5,0
301,8,23,10,1
409,2,15,3,1
638,2,25,1,1
47,2,0,2,0
275,0,1,0,0
80,3,13,6,1
95,2,3,0,0
631,6,22,0,1
412,9,22,10,1
881,2,15,6,1
160,8,6,1,1
781,8,16,7,1
134,9,11,1,1
245,4,16,0,1
658,6,27,10,1
395,5,3,10,1
994,9,20,1,1
242,2,2,1,0
996,9,2,8,1
865,9,5,3,1
161,2,1,1,0
180,3,2,0,0
167,0,0,1,0
184,3,2,2,0
127,2,26,7,1
158,6,20,10,1
283,0,2,1,0
165,3,4,0,0
193,0,0,2,0
122,0,8,1,1
244,2,1,1,0
197,0,0,1,0
110,1,18,9,1
260,2,10,2,0
577,6,1,5,1
166,2,7,1,0
322,5,2,1,0
469,0,10,3,1
479,1,0,1,0
179,5,9,9,1
120,5,2,1,0
85,6,4,3,1
116,10,25,7,1
78,1,3,1,0
345,2,1,1,0
333,1,5,10,1
180,8,30,9,1
101,1,14,6,1
33,2,2,2,0
542,2,22,3,1
217,8,24,2,1
961,7,1,4,1
420,2,0,1,0
810,6,15,4,1
645,6,3,8,1
609,8,20,8,1
67,0,6,5,0
239,1,8,1,0
150,1,1,0,0
179,9,29,3,1
645,6,23,3,1
177,4,3,5,0
178,0,9,3,0
146,0,2,1,0
874,8,5,8,1
73,2,4,1,0
20,1,3,0,0
114,10,28,9,1
81,0,0,1,0
623,3,7,2,1
778,3,10,3,1
189,4,8,9,1
337,9,25,4,1
240,4,0,1,1
31,0,2,5,0
635,7,23,1,1
463,8,7,8,1
87,10,9,8,1
145,2,3,0,0
154,7,21,8,1
296,0,0,5,0
138,7,30,3,1
594,6,19,3,1
814,0,7,9,1
106,1,1,0,0
368,1,4,1,0
468,9,12,7,1
782,6,6,8,1
288,5,1,2,0
364,3,23,6,1
505,5,7,10,1
241,4,5,6,1
178,2,5,3,1
252,2,2,2,0
22,2,0,2,0
127,2,30,4,1
454,0,0,0,0
34,2,1,0,0
124,0,4,3,0
96,2,0,0,0
107,1,1,0,0
137,2,16,8,1
272,0,3,0,0
109,3,2,0,1
495,5,1,5,0
226,1,10,1,0
355,1,4,6,0
20,2,2,0,0
161,6,16,4,1
629,9,21,1,1
843,5,8,5,1
572,0,5,5,1
283,4,26,6,1
581,0,13,6,1
194,8,5,8,1
681,7,22,1,1
242,1,1,2,0
171,0,1,0,0
192,10,23,6,1
785,5,17,4,1
165,1,2,0,0
76,3,5,9,1
329,3,1,2,0
372,1,2,2,0
124,1,2,1,0
92,0,3,1,0
741,3,13,10,1
465,4,12,4,1
271,1,3,6,0
205,0,0,2,0
195,2,28,3,1
158,6,19,1,1
343,0,2,1,0
289,9,4,10,1
263,0,2,2,0
819,8,14,7,1
186,10,28,6,1
715,8,14,7,1
965,1,11,6,1
480,2,3,0,0
346,0,2,9,1
158,1,10,1,0
149,1,0,1,0
346,1,4,5,0
242,1,1,4,0
258,2,1,4,1
117,7,9,10,1
754,6,17,9,1
752,6,24,3,1
186,8,1,7,1
226,1,6,2,0
243,8,30,7,1
217,0,9,2,0
167,2,3,4,0
333,2,2,4,0
261,10,27,6,1
602,10,16,6,1
201,2,16,8,1
210,2,3,4,0
541,7,1,3,1
141,1,2,1,0
32,1,2,0,0
808,5,4,4,1
184,10,24,9,1
231,8,6,7,1
543,5,2,5,1
144,6,8,4,1
275,2,2,2,0
802,10,30,8,1
119,0,3,1,0
153,2,10,5,0
761,2,2,6,1
208,0,3,3,0
93,1,0,2,0
694,1,29,5,1
599,2,18,9,1
116,3,30,3,1
64,1,5,2,0
138,6,13,5,1
785,4,22,6,1
125,1,27,4,1
222,2,0,5,0
253,3,18,7,1
623,3,15,10,1
73,1,3,1,0
588,3,11,6,1
252,2,0,0,0
413,8,24,1,1
259,3,3,3,0
366,6,12,8,1
195,7,17,5,1
158,1,3,0,0
451,2,5,3,1
235,1,3,2,0
898,10,25,3,1
32,0,2,1,0
64,0,0,2,0
283,0,0,1,0
120,5,15,5,1
117,2,24,5,1
242,1,2,1,0
66,1,1,1,0
60,1,0,0,0
123,3,2,2,0
267,2,1,0,0
405,5,4,9,1
143,1,9,5,1
182,4,7,8,1
62,2,3,0,0
121,8,10,8,1
83,1,1,0,0
150,1,10,1,0
159,1,2,1,0
565,6,7,7,1
180,3,30,5,1
169,0,2,3,0
60,1,2,2,0
106,1,0,0,0
841,9,1,1,1
53,1,3,2,0
375,3,3,3,1
933,8,0,3,1
62,1,18,2,1
92,0,3,0,0
103,3,23,4,1
324,8,19,10,1
608,10,8,6,1
283,0,2,2,0
882,0,0,9,1
302,6,21,8,1
138,0,3,2,0
278,10,11,6,1
580,9,26,4,1
108,6,9,2,1
665,7,29,10,1
201,0,7,2,0
832,6,25,1,1
52,1,1,2,0
182,2,5,2,0
989,10,6,2,1
275,1,0,0,0
559,4,19,4,1
592,7,3,3,1
252,2,1,1,0
622,7,9,1,1
95,8,13,3,1
102,2,0,2,0
106,0,2,1,0
879,5,7,8,1
112,7,6,5,1
703,4,6,10,1
159,4,3,0,0
599,4,15,10,1
189,0,2,0,0
196,1,1,2,0
310,0,2,8,1
633,8,5,10,1
187,2,4,3,0
96,1,0,2,0
141,7,19,3,1
757,9,30,3,1
521,1,5,9,1
147,4,2,4,1
347,9,8,0,1
30,2,1,0,0
735,7,16,2,1
300,10,30,7,1
459,7,22,7,1
326,3,10,5,0
246,1,7,0,0
197,3,3,2,0
239,2,26,10,1
297,2,0,1,0
953,10,29,7,1
148,2,9,5,1
44,0,0,6,0
50,4,1,1,0
771,0,12,8,1
249,1,3,1,0
190,3,3,2,0
192,3,9,9,1
559,5,28,9,1
198,1,3,9,1
300,0,1,1,0
166,9,29,7,1
449,1,3,1,0
843,10,3,5,1
182,1,1,1,0
286,1,7,4,0
475,1,7,7,1
955,6,10,8,1
358,1,17,1,1
169,1,0,6,0
96,1,10,1,0
200,4,0,2,0
298,3,1,2,0
132,0,26,5,1
59,2,0,0,0
997,0,6,6,1
141,2,3,0,0
567,1,16,4,1
192,3,16,3,1
94,1,2,2,0
219,1,8,1,1
156,0,0,2,0
250,2,8,1,0
153,0,3,2,0
846,0,4,4,1
420,2,20,5,1
265,0,4,3,0
130,7,2,6,1
858,6,1,4,1
131,2,27,10,1
275,1,2,2,0
359,9,2,6,1
943,7,30,4,1
156,3,11,6,1
188,0,0,1,0
25,1,2,1,0
153,4,3,2,0
86,2,1,2,0
615,9,7,6,1
469,4,3,5,1
241,2,5,4,1
739,3,5,1,1
803,10,1,8,1
352,0,3,0,0
182,1,0,0,0
845,9,28,5,1
314,5,15,7,1
256,1,3,1,0
176,0,3,0,0
194,2,5,1,0
146,0,3,0,0
294,5,2,1,0
660,6,4,7,1
83,1,0,0,0
257,2,0,1,0
259,1,0,2,0
415,4,21,10,1
501,7,7,5,1
593,4,20,3,1
185,0,0,0,0
83,2,16,3,1
744,10,3,7,1
196,0,9,6,1
109,1,3,0,0
844,10,8,1,1
898,9,8,4,1
665,3,4,10,1
125,1,3,2,0
92,4,5,2,0
187,5,23,10,1
130,1,3,2,0
210,0,0,4,0
498,10,17,7,1
212,5,2,0,0
78,6,17,6,1
156,4,4,0,1
934,7,11,4,1
196,4,2,3,0
168,9,22,0,1
195,3,17,6,1
136,2,0,5,0
222,3,26,9,1
93,9,22,1,1
49,1,2,1,0
194,1,4,5,0
559,10,21,10,1
574,9,1,5,1
182,9,27,0,1
187,4,18,3,1
999,6,11,6,1
560,5,0,4,1
209,0,8,1,0
637,5,8,10,1
357,9,16,1,1
511,3,26,5,1
237,1,4,3,1
393,8,10,3,1
218,2,5,0,0
107,6,24,0,1
98,6,3,6,1
165,1,1,1,0
172,1,2,4,0
219,0,2,1,0
23,0,1,6,0
237,2,3,6,0
959,2,30,3,1
926,0,20,8,1
249,0,3,3,0
141,6,1,0,1
673,1,19,3,1
128,2,2,2,0
582,9,9,3,1
248,10,3,3,1
160,1,2,2,0
597,10,4,7,1
453,6,8,7,1
847,4,19,7,1
275,2,0,0,0
441,0,3,2,0
214,0,7,1,0
145,2,7,2,0
759,8,11,8,1
749,2,0,4,1
217,1,22,4,1
162,3,3,5,0
157,2,16,10,1
592,9,26,6,1
551,0,21,8,1
878,7,25,3,1
963,5,24,1,1
608,4,29,2,1
210,5,2,1,0
193,4,1,2,0
270,2,3,1,0
142,5,4,2,1
675,9,26,2,1
294,2,3,0,0
582,8,24,5,1
196,7,19,1,1
114,7,5,7,1
52,2,0,0,0
105,1,3,5,0
531,4,10,1,1
210,2,6,3,1
229,3,24,6,1
911,3,17,4,1
102,2,0,2,0
574,4,27,8,1
343,5,0,4,1
532,9,15,10,1
149,6,25,5,1
164,2,26,10,1
743,7,19,5,1
56,9,11,8,1
74,2,3,0,0
400,3,22,10,1
379,3,14,10,1
74,0,1,1,0
46,2,1,0,0
284,1,3,2,0
959,5,21,5,1
118,2,3,0,0
360,2,27,8,1
194,10,27,5,1
290,1,2,2,0
897,8,25,2,1
393,4,6,9,1
274,4,3,4,0
314,9,7,4,1
495,6,4,9,1
111,1,3,1,0
208,2,8,1,0
351,4,27,2,1
611,4,21,5,1
273,2,3,1,0
207,4,3,0,0
90,0,2,2,0
164,9,25,6,1
149,2,0,0,0
246,1,2,4,0
36,2,1,0,0
223,1,6,3,0
89,2,3,1,0
153,5,13,3,1
224,1,6,2,0
116,5,24,10,1
159,1,8,0,0
149,1,7,2,0
255,10,7,10,1
342,1,2,0,0
100,2,0,2,0
129,1,8,2,0
159,5,1,2,0
452,4,20,5,1
250,2,3,6,0
139,2,10,0,0
359,0,1,6,1
270,4,1,1,0
479,1,0,1,0
290,3,2,2,0
609,6,5,2,1
300,9,4,6,1
138,5,2,1,0
35,5,3,1,0
172,2,0,1,0
48,0,1,5,0
331,2,1,1,0
415,5,3,1,0
612,0,22,3,1
355,1,27,6,1
134,5,3,10,1
45,1,1,1,0
460,3,15,4,1
157,1,1,1,0
180,0,25,10,1
747,8,18,5,1
292,2,3,0,0
474,9,19,7,1
198,6,19,1,1
200,2,2,5,0
144,1,4,0,0
314,8,28,2,1
726,2,22,4,1
54,4,3,1,0
120,1,3,0,0
101,8,29,7,1
641,10,14,3,1
21,0,0,5,0
889,3,20,7,1
897,9,23,10,1
414,8,11,10,1
153,1,1,1,0
95,1,3,1,0
937,8,7,8,1
172,4,18,7,1
92,0,4,5,1
217,2,3,2,0
296,2,28,9,1
114,0,8,1,0
732,0,5,7,1
70,2,5,2,0
100,3,27,10,1
49,0,3,2,0
142,2,10,3,1
567,5,16,3,1
880,8,24,10,1
292,0,4,0,0
197,2,3,1,0
454,3,7,2,1
262,2,2,2,0
457,6,26,10,1
288,0,3,2,0
768,7,19,3,1
470,1,18,9,1
274,2,2,5,1
381,1,1,0,0
163,1,1,3,0
385,3,25,8,1
735,7,28,4,1
392,0,19,1,1
120,0,17,6,1
38,1,0,1,0
177,2,2,1,0
73,0,0,0,0
151,1,0,1,0
265,2,6,6,0
574,10,21,7,1
387,0,2,0,0
216,7,23,10,1
284,2,3,4,0
28,1,2,2,0
149,1,8,10,1
860,3,23,5,1
99,2,21,7,1
893,1,26,8,1
107,3,29,10,1
27,1,2,2,0
127,3,24,5,1
275,0,0,3,0
343,5,5,0,0
50,0,1,0,0
792,3,28,9,1
751,6,1,9,1
701,4,7,7,1
39,0,0,1,0
70,9,17,1,1
294,7,27,3,1
448,9,10,9,1
168,4,6,0,1
150,2,3,1,0
275,10,28,3,1
259,1,0,0,0
238,1,6,2,0
233,1,0,1,0
405,0,5,2,1
136,0,1,2,0
546,0,22,7,1
89,2,2,2,0
62,0,10,2,0
440,3,25,0,1
640,9,15,8,1
449,5,26,4,1
140,10,21,9,1
790,3,24,0,1
232,6,29,9,1
222,2,0,0,0
177,0,1,1,0
146,1,2,0,0
150,0,1,1,0
184,1,0,8,1
638,9,1,6,1
88,3,2,2,0
870,3,20,3,1
66,0,0,1,0
168,2,1,2,0
147,0,3,2,0
160,1,1,0,0
273,2,2,5,0
27,2,2,0,0
106,8,17,3,1
333,10,0,0,1
55,2,3,2,0
228,2,8,6,0
160,1,1,2,0
610,1,8,7,1
868,7,5,7,1
652,2,9,6,1
299,0,2,0,0
187,0,8,2,0
125,3,26,2,1
298,2,2,3,0
127,2,15,7,1
233,5,0,0,0
42,2,1,0,0
108,10,24,10,1
131,0,3,2,0
595,0,27,6,1
44,0,0,2,0
30,0,0,2,0
254,1,1,0,0
